"Gemeindenr"	"gini_steink.2001"	"median_steink.2001"	"primary.2001"	"secondary.2001"	"tertiary.2001"	"tert.2001"	"sek.2001"	"prim.2001"	"rank_median.2001"	"rank_gini.2001"	"gini_steink.2005"	"median_steink.2005"	"primary.2005"	"secondary.2005"	"tertiary.2005"	"tert.2005"	"sek.2005"	"prim.2005"	"rank_median.2005"	"rank_gini.2005"	"gini_steink.2008"	"median_steink.2008"	"primary.2008"	"secondary.2008"	"tertiary.2008"	"tert.2008"	"sek.2008"	"prim.2008"	"rank_median.2008"	"rank_gini.2008"	"gini_steink.1971"	"median_steink.1971"	"primary.1971"	"secondary.1971"	"tertiary.1971"	"tert.1971"	"sek.1971"	"prim.1971"	"rank_median.1971"	"rank_gini.1971"	"gini_steink.1981"	"median_steink.1981"	"primary.1981"	"secondary.1981"	"tertiary.1981"	"tert.1981"	"sek.1981"	"prim.1981"	"rank_median.1981"	"rank_gini.1981"	"gini_steink.1995"	"median_steink.1995"	"primary.1995"	"secondary.1995"	"tertiary.1995"	"tert.1995"	"sek.1995"	"prim.1995"	"rank_median.1995"	"rank_gini.1995"	"diff_gini"	"diff_median"	"diff_primary"	"diff_secondary"	"diff_tertiary"
1711	0.529999971389771	59400	0.00518985653651462	0.207410842272275	0.78739930119121	17009.613036	4480.545209	112.112687	1940	2045	0.544000029563904	61700	0.00489914389808522	0.231438654275005	0.76366220182691	17714.269154	5368.560346	113.642856	2527.5	2696.5	0.578999996185303	66250	0.00361834738902715	0.211307085126512	0.785074567484461	21041.438653	5663.417531	96.978348	2521.5	2665	0.412000000476837	20500							2682.5	2615.5	0.437999993562698	33700							2690	2659.5	0.47299998998642	54600	0.00916685864755769	0.273875207234881	0.716957934117561	14518.822496	5546.135039	185.634313	2692.5	2767.5	5.5	-168.5	-0.00554851125853053	-0.0625681221083699	0.0681166333669004
2001	0.282999992370605	43650							614	529.5																					0.186000004410744	14900							606	244	0.261999994516373	22400							617.5	335	0.28999999165535	36100							460.5	713					
2002	0.218999996781349	48200							1192	18	0.257999986410141	46950							1085.5	133.5											0.209999993443489	14750							557.5	454.5	0.273999989032745	22800							689	488	0.217999994754791	40700							1133	18					
2003	0.296000003814697	45800							876.5	808.5	0.263000011444092	51750							1805.5	180											0.144999995827675	13100							121.5	69	0.238999992609024	23100							760.5	133.5	0.238000005483627	42000							1385.5	56.5					
2004	0.270000010728836	44450	0.368930585333214	0.0823340122641726	0.548735402402614	39.988485	6	26.885408	701.5	308	0.256000012159348	49400	0.341098085114506	0.0725544833018686	0.586347431583625	40.407388	5	23.506341	1469.5	117.5	0.254999995231628	51400	0.262136711686773	0.190286598883519	0.547576689429708	40.961972	14.234562	19.609375	1517.5	129	0.210999995470047	15500							901	464.5	0.239999994635582	27800							1951.5	138.5	0.282999992370605	39300	0.448031981610946	0.0534197810692839	0.498548237319771	46.663261	5	41.935026	893	545.5	-9.5	-434	-0.185895269924172	0.136866817814235	0.0490284521099374
2005	0.312000006437302	51000	0.476695930583279	0.275164800269279	0.248139269147443	18.497751	20.512392	35.5357	1518	1142.5	0.312000006437302	55300	0.431245094179407	0.396786893226488	0.171968012594105	11.489126	26.509201	28.811342	2173.5	1288.5	0.358000010251999	58500	0.382202670697731	0.419949856340953	0.197847472961316	13.899132	29.502214	26.850408	2253	2013	0.280000001192093	16150							1236	1416	0.294999986886978	25100							1239	902	0.331999987363815	42350	0.472467376921293	0.185299949423668	0.34223267365504	20.874459	11.302358	28.818116	1451	1846	968.125	785.15	-0.0902647062235619	0.191863911688138	-0.144385200693724
2006																															0.236000001430511	18000							2121.5	782.5	0.273000001907349	23700							901.5	466															
2007	0.289000004529953	32600							38	653																					0.170000001788139	14100							330	154	0.25	20200							283.5	203	0.275000005960464	32050							146.5	370					
2008	0.234999999403954	50500	0.744006796860528	0	0.255993203139471	4.282786	0	12.447291	1472.5	45	0.303000003099442	52200	0.719676727727181	0	0.280323272272819	4.273662	0	10.971815	1873.5	1037	0.321000009775162	58900	0.62732106971315	0	0.37267893028685	6.39761	0	10.768936	2276	1462	0.421999990940094	15750							1034.5	2643.5	0.28600001335144	27800							1951.5	711.5	0.264999985694885	45700	0.719704310471202	0.168177413717279	0.112118275811519	2	3	12.838305	2003	238.5	750.5	324.5	-0.0923832407580522	-0.168177413717279	0.229508509897519
2009	0.289000004529953	40500	0.769022897110022	0.0749027267334666	0.156074376156511	11.039641	5.29811	54.395455	328	653	0.26800000667572	41100	0.729223565953711	0.108279113546343	0.162497320499946	10.935745	7.286968	49.075289	377	241	0.261000007390976	45950	0.59920967302164	0.115153511426252	0.285636815552108	14.728208	5.937627	30.896874	663.5	199	0.181999996304512	13750							234.5	223	0.224000006914139	22050							546.5	64.5	0.263000011444092	36700	0.706808322080338	0.105055780746164	0.188135897173498	15.35449	8.574004	57.68533	528	215.5	134.5	117	-0.107598649058697	0.0100977306800881	0.0975009183786092
